Acaryochloris marina,8172
Anabaena cylindrica,5797
Anabaena sp. 90,4476
Anabaena variabilis,5634
Arthrospira platensis,6009
Calothrix sp. PCC 7507,5924
Chamaesiphon minutus PCC 6605,5815
Chroococcidiopsis thermalis PCC 7203,5740
Crinalium epipsammum PCC 9333,4697
Cyanobacterium aponinum,3415
Cyanobacterium stanieri,2831
Cyanobium gracile,3261
Cyanothece sp.,6559
Cylindrospermum stagnale PCC 7417,6200
Dactylococcopsis salina PCC 8305,3305
Geitlerinema sp. PCC 7407,3813
Gloeobacter kilaueensis JS1,4462
Gloeobacter violaceus,4406
Gloeocapsa sp. PCC 7428,5003
Halothece sp.,3701
Leptolyngbya sp. PCC 7376,4153
Microcoleus sp. PCC 7113,6397
Microcystis aeruginosa,5981
Nodularia spumigena CCY9414,5211
Nostoc azollae,3646
Nostoc punctiforme,6573
Nostoc sp.,6070
Oscillatoria acuminata PCC 6304,5755
Oscillatoria nigro-viridis PCC 7112,6276
Oscillatoriales cyanobacterium JSC-12,4673
Pleurocapsa sp. PCC 7327,4255
Prochlorococcus marinus,2985
Pseudanabaena sp. PCC 7367,3824
Rivularia sp. PCC 7116,6617
Stanieria cyanosphaera,4751
Synechococcus elongatus,2657
Synechococcus sp.,3541
Thermosynechococcus elongatus,2451
Trichodesmium erythraeum,4342
Amborella trichopoda,27371
Arabidopsis lyrata subsp. Lyrata,32113
Arabidopsis thaliana,31668
Beta vulgaris,24446
Brassica rapa,40976
Capsella rubella,26521
Carica papaya,26954
Citrullus lanatus,23438
Citrus sinensis,25466
Cucumis melo,26746
Eucalyptus grandis,36449
Fragaria vesca,34748
Glycine max,64600
Gossypium raimondii,37587
Lotus japonicus,15030
Malus domestica,63515
Manihot esculenta,30748
Medicago truncatula,50757
Oryza sativa subsp. Japonica,63195
Ostreococcus lucimarinus,7769
Populus trichocarpa,44463
Prunus persica,27864
Ricinus communis,31219
Solanum lycopersicum,34824
Solanum tuberosum,53100
Thellungiella parvula,25562
Theobroma cacao,29465
Vitis vinifera,29838
Zea mays,39305
Brachypodium distachyon,29942
Hordeum vulgare,24318
Musa acuminata subsp. Malaccensis,36462
Oryza sativa ssp. indica,48788
Setaria italica,39110
Sorghum bicolor,33117
Bathycoccus prasinos,7884
Chlorella sp NC64A,9791
Coccomyxa sp. C169,9994
Micromonas pusilla strain CCMP1545,10550
Ostreococcus sp RCC809,7492
Oryza sativa,41363
Ostreococcus tauri,7970
Aureococcus anophagefferens,11382
Ectocarpus siliculosus,16448
Thalassiosira pseudonana,10894
Fragilariopsis cylindrus,17942
Phaeodactylum tricornutum,10135
Cyanidioschyzon merolae,4988
Brassica rapa subsp. Pekinensis,40809
Hordeum vulgare var. distichum,52296
Micromonas sp.,10115
Oryza brachyantha,31989
Oryza glaberrima,31807
Physcomitrella patens subsp. Patens,34837
Triticum aestivum,100981
Triticum urartu,33258
